,1,2,3,4,5,6,7,8,9,10
1,"(muslims, 4)","(world, 3)","(matter, 3)","(day, 3)","(sarah, 3)","(palin, 3)","(school, 3)","(woman, 3)","(prayer, 2)","(cats, 2)"
2,"(man, 6)","(hoax, 5)","(bowl, 4)","(burns, 3)","(death, 3)","(measles, 3)","(girl, 3)","(body, 3)","(facebook, 3)","(classmate, 2)"
3,"(obama, 9)","(cruz, 7)","(president, 5)","(isis, 4)","(michelle, 4)","(food, 4)","(students, 3)","(clinton, 3)","(letter, 3)","(day, 3)"
4,"(baby, 5)","(facebook, 5)","(world, 4)","(obama, 4)","(prayer, 3)","(death, 3)","(paul, 3)","(request, 3)","(day, 3)","(president, 3)"
5,"(obama, 5)","(man, 5)","(facebook, 5)","(coupon, 3)","(world, 3)","(years, 3)","(scam, 3)","(age, 2)","(record, 2)","(power, 2)"
6,"(warning, 5)","(obama, 4)","(rainbow, 3)","(photo, 3)","(july, 3)","(clinton, 3)","(man, 3)","(cream, 2)","(tick, 2)","(world, 2)"
7,"(man, 4)","(dog, 3)","(bull, 3)","(wave, 2)","(shirt, 2)","(deaths, 2)","(obama, 2)","(flag, 2)","(measles, 2)","(days, 2)"
8,"(mexico, 3)","(scam, 3)","(warning, 3)","(trafficking, 2)","(mountain, 2)","(lice, 2)","(trump, 2)","(baby, 2)","(wall, 2)","(james, 2)"
9,"(johnson, 2)","(lie, 2)","(rape, 2)","(halloween, 2)","(trump, 2)","(refugee, 2)","(church, 2)","(magic, 2)","(sinner, 1)","(dot, 1)"
10,"(gun, 5)","(trump, 3)","(shot, 3)","(president, 2)","(troll, 2)","(lie, 2)","(bull, 2)","(flag, 2)","(way, 2)","(doubt, 2)"
11,"(christmas, 4)","(trump, 3)","(war, 3)","(dog, 2)","(hand, 2)","(bunny, 2)","(hoax, 2)","(refugee, 2)","(obama, 2)","(masturbation, 2)"
12,"(trump, 8)","(obama, 8)","(president, 6)","(muslims, 4)","(isis, 4)","(christmas, 4)","(death, 4)","(letter, 3)","(holiday, 3)","(controversy, 3)"
