postid,title,category,sharecount,published_date,claim,key_word
127560,Does a New Facebook Algorithm Only Show You 26 Friends?,Viral Phenomena,322000,2018-02-06 13:20,A new Facebook algorithm only shows posts from about two dozen friends in your newsfeed.,facebook algorithm posts 
130190,Is the NRA a Tax-Exempt Nonprofit Organization?,Politics,134000,2018-02-23 15:47,The NRA is a tax-exempt nonprofit organization.,nra non profit
124641,Did the White House Change Outgoing Message on Comment Line to Blame Democrats?,Politics,133000,2018-01-20 16:12,The White House updated the voice message on the automated telephone comments line to blame Democrats for a government shutdown.,blame democrats 
60693,Hillary Clinton Gave 20 Percent of United States’ Uranium to Russia in Exchange for Clinton Foundation Donations?,Politics,118000,2016-10-25 0:00,Sec. of State Hillary Clinton's approval of a deal to transfer control of 20% of U.S. uranium deposits to a Russian company was a quid pro quo exchange for donations to the Clinton Foundation.,clinton uranium russian 
125183,"Did the Kochs Contribute $500,000 to Paul Ryan After the GOP Tax Plan Was Passed?",Politics,108000,2018-01-23 17:26,"Charles and Elizabeth Koch contributed nearly $500,000 to Paul Ryan’s fundraising committee after successfully passing the GOP tax plan in the United States House of Representatives.",paul ryan fundraising
109589,Was the Texas Church Shooter an Antifa Member Who Vowed to Start Civil War?,Fake News,99000,2017-11-05 19:34,The perpetrator of the Sutherland Springs shooting carried an Antifa flag and told churchgoers “this is a communist revolution.”,sutherland springs shooting
128951,Did President Trump Revoke Gun Background Checks for Mentally Ill People?,Politics,87000,2018-02-15 12:09,President Trump signed a bill blocking Obama-era background checks on guns for people with mental illnesses.,trump sign gun
109040,Is the Department of Defense Planning a Communications Drill to Coincide with ‘Antifa’ Demonstrations?,Politics,82000,2017-10-31 9:54,"The Department of Defense has planned communications drills to coincide with ""antifa protests"" on 4 November 2017.",antifa protests
130359,Are Cadbury Products Contaminated with HIV?,Fact Check,67000,2018-02-25 15:25,A worker at Cadbury plant was arrested for contaminating the company's products with HIV-infected blood.,cadbury hiv
134258,Did President Trump Roll Back Rules Protecting Elderly at Nursing Homes?,Politics,64000,2017-12-28 12:51,President Trump rolled back rules protecting residents of nursing homes.,trump nursing
120782,Was Emma González Photographed Swinging an Umbrella at a Truck?,Fauxtography,63000,2018-03-27 12:27,"Emma González was photographed attacking a truck belonging to a ""Second Amendment supporter"" during a March for Our Lives event in March 2018.",Emma González
121147,Did Hurricane Maria Cause an IV Bag Shortage Across the United States?,Medical,50000,2017-12-29 16:24,United States health care facilities face an intravenous bag shortage because of the devastation wreaked by Hurricane Maria in September 2017.,Hurricane Maria 
117140,Did an Alabama Church Display a Sign Comparing Roy Moore to Jesus?,Politics,49000,2017-12-05 17:08,The billboard for Living Way Ministries in Alabama displayed a message openly supporting GOP senatorial candidate Roy Moore.,Living Way Ministries
128907,Did the Florida Shooter’s Instagram Profile Picture Feature a ‘MAGA’ Hat?,Fauxtography,48000,2018-02-15 14:39,"An Instagram account linked to suspected shooter Nikolas Cruz featured an avatar that included a ""MAGA"" hat.",Nikolas Cruz instagram
122491,Are Essential Oils Poisonous to Cats?,Medical,47000,2018-01-09 16:05,Essential oils can be poisonous to cats.,Essential oils cats
109220,Does President Trump Plan to ‘End’ a Program Funding Heating for the Elderly and Disabled?,Politics,46000,2017-11-02 15:38,President Donald Trump has proposed eliminating funding for a program helping low-income families with their heating bills.,trump heating 
126778,Did Armed Trump Supporters Ask a Navajo Legislator If He’s ‘Legal’?,Viral Phenomena,46000,2018-02-02 11:00,"Armed Trump supporters protesting immigration demanded to know if a Native American legislator is in the United States ""legally.""",Armed Trump supporters 
134382,Did Emma González ‘Admit’ to Bullying the Parkland School Shooter?,Politics,39000,2018-03-28 3:22,Parkland mass shooting survivor Emma González admitted to bullying a former student who later killed seventeen people.,Emma González
9221,Crisis Actors Uncovered?,Politics,37000,2015-10-26 0:00,"The same crying woman appears in photos taken at the scenes of massacres in Sandy Hook, Aurora, Boston, Oregon, Paris, and Manchester.",crying woman 
14749,Was Barack Obama a Black Panther?,Fauxtography,34000,2015-12-22 0:00,A 1998 photograph shows a young  Barack Obama as a member of the Black Panther Party.,obama black panther party
116509,Did President Donald Trump Reverse an Insecticide Ban After Receiving $1 Million from Dow Chemicals?,Politics,34000,2017-11-27 13:54,"Chlorpyrifos, an insecticide with alleged origins in Nazi Germany, was set to be banned by the EPA over health and environmental safety concerns, but President Trump reversed this decision after Dow Chemicals, a manufacturer of the chemical, donated one ...",Chlorpyrifos 
133646,Does Facebook’s Green ‘BFF’ Prove Your Account Is Secure?,Technology,33000,2018-03-22 12:23,"You can determine whether your Facebook account is secure by typing ""BFF"" to see if it turns green.",facebook bff
